year,month,day,rainfall,evaporation,discharge
1982,1,1,0,1.3,38.3
1982,1,2,0,0.6,37.8
1982,1,3,1.59,0.6,38.0
1982,1,4,1.44,0.5,40.0
1982,1,5,0,0.9,38.7
1982,1,6,0,0.8,35.6
1982,1,7,0,1.6,34.1
1982,1,8,0,1.1,32.9
1982,1,9,0,0.9,31.8
1982,1,10,0,1.5,30.8
1982,1,11,0.05,1.2,29.9
1982,1,12,0.59,0.4,29.3
1982,1,13,1.15,0.9,29.2
1982,1,14,2.1,0.2,31.2
1982,1,15,0.03,0.2,33.4
1982,1,16,0,2.7,29.4
1982,1,17,0,1.6,28.2
1982,1,18,0,2,27.4
1982,1,19,0,1.3,26.7
1982,1,20,0,1,26.0
1982,1,21,1.02,0.3,26.3
1982,1,22,2.1,0.6,29.0
1982,1,23,0.01,0.6,29.7
1982,1,24,0,1.2,26.5
1982,1,25,0,1.7,25.5
1982,1,26,0,1,24.9
1982,1,27,0.34,1.4,24.3
1982,1,28,0,1.5,23.8
1982,1,29,0,0.8,23.2
1982,1,30,0.05,0.9,22.7
1982,1,31,0,1.2,22.3
1982,2,1,0,1.2,21.8
1982,2,2,0,0.8,21.4
1982,2,3,1.62,0.6,22.2
1982,2,4,4.95,1.4,27.9
1982,2,5,0.86,0.6,32.0
1982,2,6,7.28,0.8,34.8
1982,2,7,13.04,0.9,63.5
1982,2,8,14.25,0.9,103.2
1982,2,9,29.72,0.4,193.6
1982,2,10,24.55,0.6,359.3
1982,2,11,23.25,0,476.2
1982,2,12,0.21,0.6,420.3
1982,2,13,8.53,0.5,298.2
1982,2,14,1.43,0,260.4
1982,2,15,0.02,0.4,194.6
1982,2,16,0,0.6,152.9
1982,2,17,0,0.5,127.3
1982,2,18,6.17,0.6,126.3
1982,2,19,1.71,1.5,128.5
1982,2,20,1.14,0.8,105.0
1982,2,21,0.05,1,92.5
1982,2,22,8.53,0.5,103.8
1982,2,23,9.57,1.1,142.9
1982,2,24,0.6,0.5,141.3
1982,2,25,0.64,1,108.4
1982,2,26,6.68,0.3,112.1
1982,2,27,6.25,0.8,136.2
1982,2,28,0.85,0.7,127.8
1982,3,1,0,1.5,102.6
1982,3,2,0,1.5,89.9
1982,3,3,0.14,0.4,80.9
1982,3,4,0.03,2.7,73.7
1982,3,5,14.07,1.8,98.4
1982,3,6,16.79,1.7,174.7
1982,3,7,35.25,1.1,342.3
1982,3,8,22.4,2.1,556.5
1982,3,9,1.05,0.7,451.9
1982,3,10,0.85,0.7,279.3
1982,3,11,6.68,0.7,234.5
1982,3,12,4.34,1.9,222.3
1982,3,13,24.55,0.1,296.1
1982,3,14,5.71,1,381.4
1982,3,15,17.93,0.6,368.0
1982,3,16,0,1.7,355.5
1982,3,17,0.05,1.1,234.9
1982,3,18,0.04,0.7,181.4
1982,3,19,0.03,2.7,149.6
1982,3,20,0.11,2,127.6
1982,3,21,0.07,1.2,111.5
1982,3,22,4.51,0.5,111.8
1982,3,23,0.02,2.1,113.9
1982,3,24,7.85,2.9,110.5
1982,3,25,7.65,1.4,135.8
1982,3,26,11.14,2,167.4
1982,3,27,0.92,0,173.2
1982,3,28,2.04,0.1,142.5
1982,3,29,0.9,0.4,129.3
1982,3,30,0.06,1.1,112.0
1982,3,31,23.62,3.8,167.7
1982,4,1,2.95,1.5,235.7
1982,4,2,6.09,2,186.1
1982,4,3,7.46,0.8,194.4
1982,4,4,22.72,1.6,284.9
1982,4,5,0.72,0.9,326.0
1982,4,6,0.2,0.7,215.5
1982,4,7,0.01,2.1,169.6
1982,4,8,0.02,2,142.4
1982,4,9,0,2.5,123.0
1982,4,10,0,2.9,108.6
1982,4,11,0,2.3,97.4
1982,4,12,0.75,1.6,88.6
1982,4,13,7.32,1.8,97.3
1982,4,14,0.28,3,107.2
1982,4,15,0,3.6,88.1
1982,4,16,0,2.6,79.8
1982,4,17,1.84,1.1,75.9
1982,4,18,0.53,2.1,73.0
1982,4,19,0,1.7,67.1
1982,4,20,0.5,1.1,63.1
1982,4,21,7.03,0.8,74.7
1982,4,22,7.62,0.6,107.3
1982,4,23,5.09,2.7,117.4
1982,4,24,22.66,2.7,168.0
1982,4,25,18.24,1.4,303.3
1982,4,26,0,2.5,294.5
1982,4,27,0,3.4,199.1
1982,4,28,0.03,1.7,158.7
1982,4,29,8.82,0.7,164.9
1982,4,30,8.21,1.2,202.4
1982,5,1,12.75,1.6,235.5
1982,5,2,0.1,1.8,230.8
1982,5,3,0,3.7,168.0
1982,5,4,0,1.9,138.8
1982,5,5,16.15,2.5,170.6
1982,5,6,22.55,1.3,305.5
1982,5,7,16.18,0.2,430.4
1982,5,8,1.36,1.8,371.8
1982,5,9,17.23,6.8,301.1
1982,5,10,78.65,3.8,872.0
1982,5,11,22.59,0.1,1457.6
1982,5,12,4.24,2,805.3
1982,5,13,4.28,2.5,446.8
1982,5,14,5.47,1.2,335.9
1982,5,15,1.4,0.2,278.2
1982,5,16,0.01,1.4,216.4
1982,5,17,0.82,1.4,174.6
1982,5,18,9.9,2.5,181.1
1982,5,19,0.11,3.4,189.6
1982,5,20,0,4.1,148.8
1982,5,21,0,4.5,128.6
1982,5,22,0,4.4,114.6
1982,5,23,0,4.7,103.7
1982,5,24,0,3.5,94.9
1982,5,25,0.38,3.9,87.6
1982,5,26,0.17,2.6,81.6
1982,5,27,9.78,1.4,100.9
1982,5,28,17.4,0.5,184.1
1982,5,29,5.95,2.2,238.0
1982,5,30,2.82,3,185.2
1982,5,31,0,3.5,146.5
1982,6,1,10.74,4.1,151.6
1982,6,2,10.85,1.9,196.9
1982,6,3,0.05,4,195.9
1982,6,4,0,4.2,148.5
1982,6,5,0,2,126.6
1982,6,6,8.07,1.5,135.1
1982,6,7,10.5,0.6,184.0
1982,6,8,5.21,1,208.1
1982,6,9,0.97,3.1,175.4
1982,6,10,1.91,2.7,139.9
1982,6,11,5.49,1.7,135.0
1982,6,12,3.49,1.8,139.9
1982,6,13,43.23,4.7,297.4
1982,6,14,44.79,0.9,832.1
1982,6,15,58.75,2.9,1462.3
1982,6,16,66.56,0.8,2082.6
1982,6,17,44.2,0,2104.6
1982,6,18,73.05,2.1,2239.8
1982,6,19,7.01,1.1,1709.2
1982,6,20,0.47,2.1,685.4
1982,6,21,0,0,397.1
1982,6,22,60.13,2.1,815.7
1982,6,23,4.14,1.1,1140.1
1982,6,24,0,2.3,547.2
1982,6,25,0,4.3,348.6
1982,6,26,0,5,263.6
1982,6,27,0,4.8,214.4
1982,6,28,0,4.4,182.3
1982,6,29,0,3.7,159.8
1982,6,30,5.55,2.8,155.5
1982,7,1,6.97,2.6,173.6
1982,7,2,0.95,1.2,171.3
1982,7,3,4.65,1.2,159.5
1982,7,4,12.19,4.9,193.3
1982,7,5,6,1.9,221.9
1982,7,6,5.92,1.9,218.8
1982,7,7,2.46,2.3,200.1
1982,7,8,2.83,3.4,165.6
1982,7,9,0,4.7,145.8
1982,7,10,0,4.4,131.6
1982,7,11,0,3.8,120.5
1982,7,12,0,4.9,111.4
1982,7,13,0,5.4,103.7
1982,7,14,0,5,97.2
1982,7,15,0,4.9,91.5
1982,7,16,0.3,4.5,86.5
1982,7,17,2.25,4.7,82.2
1982,7,18,2.6,4.9,78.5
1982,7,19,0.44,4.6,75.1
1982,7,20,0,4.6,72.0
1982,7,21,0,6.1,69.0
1982,7,22,0,5.6,66.2
1982,7,23,0,4.4,63.7
